date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:12	132048/132048	U-----	200	untouched ('')	image/png	etag:%222429535e5dd2d588a3c49a6027532002%22	https://s3.amazonaws.com/cdn.fanduel.com/images/2023/fanduel/homepage/facelift/fanduel-tv.png	C:/My%20Web%20Sites/fanduel/s3.amazonaws.com/cdn.fanduel.com/images/2023/fanduel/homepage/facelift/fanduel-tv.png	(from https://www.fanduel.com/)
07:47:13	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:14%20GMT	https://www.fanduel.com/fantasy-golf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/fantasy-golf.23.delayed	(from https://www.fanduel.com/)
07:47:14	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:14%20GMT	https://www.fanduel.com/fantasy-nascar	C:/My%20Web%20Sites/fanduel/www.fanduel.com/fantasy-nascar	(from https://www.fanduel.com/)
07:47:15	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:15%20GMT	https://www.fanduel.com/kentucky-derby-betting	C:/My%20Web%20Sites/fanduel/www.fanduel.com/kentucky-derby-betting	(from https://www.fanduel.com/)
07:47:15	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:16%20GMT	https://www.fanduel.com/preakness-stakes-odds	C:/My%20Web%20Sites/fanduel/www.fanduel.com/preakness-stakes-odds	(from https://www.fanduel.com/)
07:47:16	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:17%20GMT	https://www.fanduel.com/preakness-stakes-betting	C:/My%20Web%20Sites/fanduel/www.fanduel.com/preakness-stakes-betting	(from https://www.fanduel.com/)
07:47:16	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:17%20GMT	https://www.fanduel.com/belmont-stakes-odds	C:/My%20Web%20Sites/fanduel/www.fanduel.com/belmont-stakes-odds	(from https://www.fanduel.com/)
07:47:17	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:18%20GMT	https://www.fanduel.com/belmont-stakes-betting	C:/My%20Web%20Sites/fanduel/www.fanduel.com/belmont-stakes-betting	(from https://www.fanduel.com/)
07:47:17	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:18%20GMT	https://www.fanduel.com/breeders-cup-betting	C:/My%20Web%20Sites/fanduel/www.fanduel.com/breeders-cup-betting	(from https://www.fanduel.com/)
07:47:18	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:47:19%20GMT	https://www.fanduel.com/tv-plus	C:/My%20Web%20Sites/fanduel/www.fanduel.com/tv-plus	(from https://www.fanduel.com/)
