date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:32	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jul%202024%2018:24:33%20GMT	https://www.fanduel.com/images/numberFire.svg	C:/My%20Web%20Sites/fanduel/www.fanduel.com/images/numberFire.svg	(from https://www.fanduel.com/)
19:24:33	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jul%202024%2018:24:34%20GMT	https://www.fanduel.com/images/21-plus.svg	C:/My%20Web%20Sites/fanduel/www.fanduel.com/images/21-plus.svg	(from https://www.fanduel.com/)
19:24:34	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-190fe2f7184%22	https://www.fanduel.com/_next/static/media/ajax-loader.0b80f665.gif	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/ajax-loader.0b80f665.gif	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:35	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-190fe2f7184%22	https://www.fanduel.com/_next/static/media/slick.25572f22.eot	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/slick.25572f22.eot	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:36	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-190fe2f7184%22	https://www.fanduel.com/_next/static/media/slick.25572f22.eot?	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/slick.25572f22d41d.eot	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:37	1380/1380	---M--	200	added ('OK')	font/woff	etag:W/%22564-190fe2f7184%22	https://www.fanduel.com/_next/static/media/slick.653a4cbb.woff	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/slick.653a4cbb.woff	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:38	1892/1892	---M-Z	200	added ('OK')	font/ttf	etag:W/%22764-190fe35463d%22	https://www.fanduel.com/_next/static/media/slick.6aa1ee46.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/slick.6aa1ee46.ttf	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:39	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22868-190fe35463d%22	https://www.fanduel.com/_next/static/media/slick.f895cfdf.svg	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/slick.f895cfdf.svg	(from https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css)
19:24:41	4178/4178	---M-Z	200	added ('OK')	image/gif	etag:%2265999b3f-d10%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
19:24:42	2048/2048	---M-Z	200	added ('OK')	application/octet-stream	etag:%2265999b40-3f6%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
